duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender
996,42:30.5,59:06.9,85,Church St at Duboce Ave,37.7700831,-122.4291557,3,Powell St BART Station (Market St at 4th St),37.78637527,-122.4049044,2029,Customer,1990,Male
592,46:57.1,56:49.2,133,Valencia St at 22nd St,37.7552126,-122.4209752,120,Mission Dolores Park,37.7614205,-122.4264353,1901,Subscriber,1980,Female
612,46:33.8,56:46.6,133,Valencia St at 22nd St,37.7552126,-122.4209752,120,Mission Dolores Park,37.7614205,-122.4264353,1864,Subscriber,1966,Male
568,44:42.6,54:10.9,30,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.395282,27,Beale St at Harrison St,37.7880593,-122.3918648,1934,Subscriber,1992,Male
188,48:41.1,51:49.9,37,2nd St at Folsom St,37.78499973,-122.3959356,48,2nd St at S Park St,37.78241119,-122.392706,2661,Customer,1989,Female
189,48:37.5,51:46.7,37,2nd St at Folsom St,37.78499973,-122.3959356,48,2nd St at S Park St,37.78241119,-122.392706,1056,Customer,1988,Male
213,47:49.8,51:23.3,129,Harrison St at 20th St,37.758862,-122.412544,139,Garfield Square (25th St at Harrison St),37.7510171,-122.4119009,2692,Subscriber,1988,Male
937,35:17.3,50:55.0,129,Harrison St at 20th St,37.758862,-122.412544,118,Eureka Valley Recreation Center,37.7591769,-122.4369431,2337,Subscriber,1988,Male
412,42:42.9,49:35.7,147,29th St at Tiffany Ave,37.7440667,-122.4214722,121,Mission Playground,37.7592103,-122.4213392,667,Subscriber,1968,Female
378,43:08.2,49:27.1,147,29th St at Tiffany Ave,37.7440667,-122.4214722,121,Mission Playground,37.7592103,-122.4213392,2599,Subscriber,1962,Male
727,36:47.4,48:54.8,230,14th St at Mandela Pkwy,37.8107432,-122.2914153,182,19th Street BART Station,37.8090126,-122.2682473,1465,Subscriber,1978,Male
387,40:26.0,46:53.5,163,Lake Merritt BART Station,37.7973195,-122.2653199,200,2nd Ave at E 18th St,37.80021357,-122.2538102,1197,Subscriber,1976,Female
